               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063218,            0.040689,            0.012829,             0.45384,             0.59259,             0.42967,             0.17161,            0.064923,             0.03688,            0.012448,           0.0024621,           0.0024621,            0.069262
                  37,            0.066633,            0.033483,            0.015034,             0.47858,                 0.5,             0.45303,             0.18888,            0.057684,            0.035331,            0.012168,           0.0024849,           0.0024849,            0.068385
                  38,            0.056736,            0.044197,             0.01449,             0.54665,             0.61574,             0.55477,             0.27254,            0.053345,            0.034748,            0.011992,           0.0025048,           0.0025048,            0.067505
                  39,            0.054355,            0.041443,            0.015153,             0.53521,             0.59722,              0.5929,             0.28186,            0.054152,            0.034886,            0.011344,           0.0025217,           0.0025217,            0.066622
                  40,            0.056613,             0.03624,            0.011317,             0.61141,             0.59722,             0.63259,              0.2592,            0.053268,            0.035626,            0.011295,           0.0025357,           0.0025357,            0.065736
                  41,            0.058046,            0.040889,            0.010214,             0.58167,             0.63426,             0.56906,             0.27408,            0.053504,            0.036258,            0.010606,           0.0025468,           0.0025468,            0.064847
                  42,            0.055709,            0.036791,            0.011903,               0.708,             0.55556,             0.61515,             0.29097,            0.054305,            0.035717,            0.010082,            0.002555,            0.002555,            0.063955
                  43,            0.052125,            0.034858,            0.010848,             0.57347,             0.59722,             0.56007,             0.22319,            0.051511,            0.035389,            0.010007,           0.0025602,           0.0025602,             0.06306
                  44,            0.051201,            0.030973,             0.01317,             0.34432,             0.79977,             0.56412,             0.23687,            0.054638,            0.034423,             0.01007,           0.0025627,           0.0025627,            0.062163
                  45,            0.052692,            0.031687,           0.0088147,             0.33719,             0.74271,             0.43483,             0.17341,            0.054217,            0.033421,           0.0097808,           0.0025622,           0.0025622,            0.061262
                  46,            0.052849,            0.039211,             0.01032,             0.50503,             0.78241,             0.66656,             0.32915,            0.047378,            0.032978,           0.0089721,            0.002559,            0.002559,            0.060359
                  47,            0.046529,            0.033794,           0.0082102,             0.49723,             0.76389,             0.60179,             0.19992,            0.051494,            0.033803,           0.0083392,            0.002553,            0.002553,            0.059453
                  48,            0.054479,             0.03609,            0.012126,             0.61138,             0.76389,             0.66483,             0.25847,            0.046026,            0.033331,           0.0083519,           0.0025443,           0.0025443,            0.058544
                  49,            0.052357,            0.033468,            0.011992,             0.71326,             0.76049,              0.7105,             0.31111,            0.049848,            0.032659,           0.0081611,            0.002533,            0.002533,            0.057633
                  50,            0.052044,            0.031743,           0.0089284,             0.73172,             0.76389,             0.72338,             0.39214,            0.048361,            0.032678,           0.0078741,            0.002519,            0.002519,            0.056719
                  51,            0.052775,            0.034494,            0.011961,             0.43318,             0.74537,               0.485,             0.16268,             0.06614,            0.031298,             0.00767,           0.0025025,           0.0025025,            0.055802
                  52,            0.059657,            0.033301,           0.0090482,             0.67105,             0.77727,             0.64997,              0.3408,            0.052392,            0.032173,           0.0079533,           0.0024835,           0.0024835,            0.054884
                  53,            0.049763,            0.032902,           0.0078675,             0.56653,             0.68862,             0.60534,              0.2661,            0.052133,            0.033348,           0.0076969,           0.0024621,           0.0024621,            0.053962
                  54,            0.057684,            0.035556,           0.0091069,             0.72488,             0.74291,             0.73208,             0.34178,            0.047731,            0.032052,           0.0077614,           0.0024384,           0.0024384,            0.053038
                  55,            0.051489,            0.032085,           0.0080825,             0.53538,             0.70833,             0.59032,             0.19573,            0.053184,            0.031503,           0.0070753,           0.0024124,           0.0024124,            0.052112
                  56,            0.056985,            0.036119,           0.0087217,             0.45312,             0.74537,             0.51011,             0.11935,            0.055483,             0.03172,           0.0069478,           0.0023843,           0.0023843,            0.051184
                  57,            0.050809,            0.030417,           0.0080443,             0.72978,             0.72685,             0.73113,             0.28936,            0.047522,            0.031302,           0.0066073,           0.0023541,           0.0023541,            0.050254
                  58,            0.054928,            0.033713,           0.0078191,             0.75391,             0.70767,             0.73594,               0.339,            0.045712,            0.031209,           0.0066726,           0.0023219,           0.0023219,            0.049322
                  59,            0.051093,            0.028972,           0.0070732,             0.62495,             0.72636,              0.6589,             0.30948,            0.044788,            0.031521,           0.0072539,           0.0022878,           0.0022878,            0.048388
                  60,            0.049835,            0.028988,           0.0091613,             0.60595,             0.68378,             0.63024,             0.34586,            0.051177,            0.032705,           0.0067609,            0.002252,            0.002252,            0.047452
                  61,            0.049529,            0.031701,           0.0075924,             0.43581,             0.65996,              0.5322,             0.16376,            0.054896,            0.033603,           0.0061153,           0.0022145,           0.0022145,            0.046514
                  62,             0.05841,            0.027211,            0.007287,             0.66328,             0.72824,             0.68521,             0.31652,             0.04897,            0.032743,           0.0066156,           0.0021754,           0.0021754,            0.045575
                  63,             0.04983,            0.033329,           0.0062928,             0.63107,             0.71041,             0.67171,             0.32962,            0.053096,            0.032652,           0.0065456,           0.0021349,           0.0021349,            0.044635
                  64,            0.052113,            0.033054,           0.0081862,             0.64722,             0.63962,             0.69039,             0.24608,            0.046972,            0.033051,            0.006583,           0.0020931,           0.0020931,            0.043693
                  65,            0.046916,            0.037819,           0.0084926,              0.6876,             0.68518,             0.68322,             0.38696,            0.045102,            0.034348,           0.0064718,             0.00205,             0.00205,             0.04275
                  66,            0.049508,            0.029721,            0.005518,             0.87492,             0.67777,             0.76291,             0.42975,            0.041587,            0.033473,            0.006318,           0.0020059,           0.0020059,            0.041806
                  67,            0.043599,            0.028308,           0.0090639,             0.81682,             0.66949,             0.71063,             0.41914,            0.050195,            0.032591,           0.0059102,           0.0019609,           0.0019609,            0.040861
                  68,            0.048759,            0.031531,           0.0068151,             0.66054,             0.75971,             0.69422,              0.2822,            0.052468,            0.032061,           0.0058235,            0.001915,            0.001915,            0.039915
                  69,            0.044031,            0.031663,           0.0060807,             0.80744,             0.66526,             0.77714,             0.32839,            0.046743,            0.031838,           0.0056975,           0.0018685,           0.0018685,            0.038969
                  70,            0.048874,            0.031846,           0.0064676,             0.90297,             0.67259,             0.80054,             0.39666,            0.041994,            0.031243,           0.0055707,           0.0018215,           0.0018215,            0.038021
                  71,             0.04207,            0.035545,           0.0066263,             0.72621,             0.76389,             0.74552,             0.39191,             0.04445,            0.033027,           0.0053102,            0.001774,            0.001774,            0.037074
                  72,            0.046244,            0.026406,           0.0063313,             0.87041,             0.64775,             0.77512,              0.4257,            0.044606,            0.032301,           0.0052797,           0.0017263,           0.0017263,            0.036126
                  73,            0.047665,            0.032599,            0.004597,             0.81378,             0.61297,             0.73108,             0.39857,            0.046917,            0.032408,            0.005285,           0.0016785,           0.0016785,            0.035179
                  74,            0.048578,            0.027432,           0.0065057,             0.61556,             0.74532,             0.66353,             0.27963,            0.047342,            0.032028,           0.0053922,           0.0016308,           0.0016308,            0.034231
                  75,            0.046857,            0.025022,            0.005095,             0.75146,              0.6588,             0.72091,             0.36601,            0.045819,            0.031894,           0.0052338,           0.0015832,           0.0015832,            0.033283
                  76,            0.041434,            0.028301,           0.0063999,             0.57505,             0.76345,             0.64088,             0.34664,            0.045585,             0.03302,            0.004989,            0.001536,            0.001536,            0.032336
                  77,            0.041797,            0.027713,           0.0055431,              0.7504,             0.68634,             0.71667,             0.36306,            0.041137,            0.033531,            0.005328,           0.0014893,           0.0014893,            0.031389
                  78,            0.039835,            0.030456,           0.0044366,             0.59911,             0.70364,             0.60458,             0.38615,            0.045619,            0.034085,           0.0054013,           0.0014432,           0.0014432,            0.030443
                  79,            0.046291,            0.031207,           0.0063266,             0.71407,             0.75325,             0.70243,             0.34849,            0.043815,            0.033556,           0.0054532,            0.001398,            0.001398,            0.029498
                  80,            0.041418,            0.029689,            0.005283,             0.79562,             0.67835,              0.7252,             0.37786,            0.044482,            0.033203,           0.0054463,           0.0013537,           0.0013537,            0.028554
                  81,             0.03825,             0.02644,           0.0059469,             0.79168,             0.68119,             0.75425,             0.44387,            0.043361,            0.033146,           0.0053304,           0.0013105,           0.0013105,             0.02761
                  82,            0.040901,            0.030353,           0.0047658,             0.87219,             0.74816,             0.79038,             0.43527,            0.041074,            0.033567,           0.0053457,           0.0012686,           0.0012686,            0.026669
                  83,            0.041718,            0.031316,           0.0045563,             0.76628,             0.69296,              0.7469,              0.4847,            0.046258,            0.033653,           0.0053622,           0.0012281,           0.0012281,            0.025728
                  84,            0.042558,            0.025603,           0.0040006,             0.84344,             0.76855,              0.8015,             0.41197,            0.041609,            0.033335,           0.0054239,           0.0011893,           0.0011893,            0.024789
                  85,            0.042871,            0.028766,           0.0086501,             0.87323,             0.68873,             0.78273,             0.51174,            0.043525,            0.032354,           0.0055481,           0.0011521,           0.0011521,            0.023852
                  86,             0.03937,             0.03007,           0.0040339,             0.87123,             0.76516,             0.79905,             0.44655,            0.043548,            0.032773,           0.0057405,           0.0011169,           0.0011169,            0.022917
                  87,            0.039544,            0.029014,           0.0054047,             0.85731,             0.76097,             0.80336,             0.42935,            0.039308,            0.032874,           0.0060919,           0.0010838,           0.0010838,            0.021984
                  88,            0.034181,            0.029649,           0.0061981,             0.85688,             0.74622,             0.80105,             0.50314,            0.039532,            0.032925,           0.0061168,           0.0010528,           0.0010528,            0.021053
                  89,            0.039112,            0.033392,           0.0051542,              0.7968,             0.77055,              0.7969,             0.39634,            0.044073,            0.033113,           0.0059715,           0.0010242,           0.0010242,            0.020124
                  90,            0.040003,            0.030186,           0.0034657,             0.88194,             0.74536,             0.80666,             0.50703,             0.04018,            0.032149,           0.0056178,          0.00099816,          0.00099816,            0.019198
                  91,            0.036183,            0.029852,           0.0061071,             0.88944,             0.74537,             0.80467,             0.40587,            0.041675,            0.032452,           0.0051758,          0.00097477,          0.00097477,            0.018275
                  92,            0.033671,             0.02623,           0.0037672,             0.90251,             0.74537,             0.79646,             0.44018,            0.039526,            0.032374,           0.0049496,          0.00095419,          0.00095419,            0.017354
                  93,            0.037588,            0.031064,            0.004034,              0.8337,             0.73909,             0.80616,              0.3799,            0.041543,            0.032808,           0.0049696,          0.00093658,          0.00093658,            0.016437
                  94,            0.035533,            0.030478,           0.0043574,             0.88618,             0.74784,              0.8098,             0.46618,            0.039345,            0.032888,           0.0050465,          0.00092207,          0.00092207,            0.015522
                  95,            0.036345,            0.028882,           0.0061923,             0.68704,             0.76994,             0.78175,             0.27733,            0.042712,            0.033541,           0.0050684,          0.00091081,          0.00091081,            0.014611
                  96,            0.034395,            0.024772,           0.0058071,             0.85965,             0.76367,             0.80657,             0.45499,            0.039066,             0.03365,            0.005096,          0.00090294,          0.00090294,            0.013703
                  97,            0.033145,            0.027421,           0.0042879,             0.69611,             0.73842,             0.75573,             0.26709,            0.043695,            0.034595,           0.0051148,          0.00089859,          0.00089859,            0.012799
                  98,            0.042487,            0.027895,           0.0041423,             0.88084,             0.73557,             0.79603,             0.42602,             0.03931,            0.034416,           0.0050433,           0.0008979,           0.0008979,            0.011898
                  99,            0.034462,             0.02828,           0.0038247,             0.75886,             0.74564,             0.68452,               0.358,             0.04286,            0.034514,           0.0050173,            0.000901,            0.000901,            0.011001
